station,camera,period,first_record,last_record,effort
CLOG01,A,1,2020-05-26,2020-10-08,134
CLOG02,A,1,2020-06-06,2020-07-14,38
CLOG03,A,1,2020-06-06,2020-10-04,119
CLOG03,B,1,2020-06-04,2020-07-11,36
CLOG04,A,1,2020-06-04,2020-09-25,112
CLOG05,A,1,2020-06-06,2020-06-07,0
CLOG05,B,1,2020-06-06,2020-07-11,34
CLOG06,A,1,2020-06-04,2020-07-13,38
CLOG06,B,1,2020-06-04,2020-07-12,38
CLOG07,A,1,2020-06-04,2020-09-03,91
CLOG08,A,1,2020-06-04,2020-10-08,125
CLOG08,B,1,2020-06-04,2020-07-13,38
CLOG09,A,1,2020-06-04,2020-10-08,125
CLOG10,A,1,2020-07-13,2020-10-08,86
PLOG01,A,1,2020-05-26,2020-06-07,12
PLOG02,A,1,2020-05-25,2020-09-23,120
PLOG02,B,1,2020-05-25,2020-07-30,65
PLOG03,A,1,2020-05-23,2020-07-08,45
PLOG03,B,1,2020-05-23,2020-07-18,55
PLOG04,A,1,2020-06-06,2020-07-16,40
PLOG05,A,1,2020-05-27,2020-07-08,41
PLOG05,B,1,2020-05-27,2020-09-25,120
PLOG06,A,1,2020-05-29,2020-08-06,68
PLOG07,A,1,2020-05-29,2020-08-11,73
PLOG07,B,1,2020-06-22,2020-10-14,113
PLOG08,A,1,2020-07-15,2020-08-22,37
CLOG03,B,2,2020-11-17,2021-01-06,50
CLOG05,A,2,2021-03-15,2021-03-17,2
CLOG05,B,2,2021-03-15,2021-05-10,56
CLOG06,A,2,2021-03-16,2021-07-05,111
PLOG03,B,2,2021-03-16,2021-04-05,20
PLOG05,A,2,2021-04-04,2021-07-16,103
PLOG05,B,2,2021-03-17,2021-06-03,78
PLOG07,A,2,2021-03-17,2021-03-17,0
PLOG07,B,2,2021-03-17,2021-06-20,95
CLOG01,A,2,2020-11-18,2021-01-06,49
CLOG01,A,3,2021-03-15,2021-03-22,7
